wordKey,topmost,bottommost,left,right,above,below,normTop,normLeft,normBottom,normRight,wordWidth,wordHeight,wordArea,standardisedText,isTitle_heightBased,isTitle_hOCRBased,isSum,isProduct,isMathElement
INVOICE_275_200,INVOICE_275_200,delivery_386_1818,,,,Date_583_349,0.0909,0.1618,0.1318,0.3573,511,90,45990,CCCCCCC,True,True,False,False,False
Invoice_278_360,INVOICE_275_200,delivery_386_1818,,number_358_360,,#270572_279_392,0.1636,0.1635,0.1718,0.1605,75,18,1350,Ccccccc,False,False,False,False,False
number_358_360,INVOICE_275_200,delivery_386_1818,Invoice_278_360,,,,0.1636,0.2106,0.1718,0.1995,81,18,1458,cccccc,False,False,False,False,False
#270572_279_392,INVOICE_275_200,delivery_386_1818,,,Invoice_278_360,,0.1782,0.1641,0.1855,0.1645,83,16,1328,pdddddd,False,False,False,False,False
Billed_278_481,INVOICE_275_200,delivery_386_1818,,to_340_483,,Terri_281_509,0.2186,0.1635,0.2268,0.1523,57,18,1026,Cccccc,False,False,False,False,False
to_340_483,INVOICE_275_200,delivery_386_1818,Billed_278_481,,,Clark_336_509,0.2195,0.2,0.2268,0.1636,20,16,320,cc,False,False,False,False,False
Terri_281_509,INVOICE_275_200,delivery_386_1818,,Clark_336_509,Billed_278_481,3221_279_538,0.2314,0.1653,0.2391,0.1495,48,17,816,Ccccc,False,False,False,False,False
Clark_336_509,INVOICE_275_200,delivery_386_1818,Terri_281_509,,to_340_483,Sanchez_333_537,0.2314,0.1976,0.2391,0.1773,54,17,918,Ccccc,False,False,False,False,False
3221_279_538,INVOICE_275_200,delivery_386_1818,,Sanchez_333_537,Terri_281_509,"Woodardport,_281_566",0.2445,0.1641,0.2518,0.1473,45,16,720,dddd,False,False,False,False,False
Sanchez_333_537,INVOICE_275_200,delivery_386_1818,3221_279_538,Underpass_425_537,Clark_336_509,"Woodardport,_281_566",0.2441,0.1959,0.2518,0.1891,83,17,1411,Ccccccc,False,False,False,False,False
Underpass_425_537,INVOICE_275_200,delivery_386_1818,Sanchez_333_537,,,94182_462_567,0.2441,0.25,0.2541,0.2405,104,22,2288,Ccccccccc,False,False,False,False,False
"Woodardport,_281_566",INVOICE_275_200,delivery_386_1818,,,Sanchez_333_537,94182_280_595,0.2573,0.1653,0.2673,0.1895,136,22,2992,Cccccccccccp,False,False,False,False,False
AL_424_567,INVOICE_275_200,delivery_386_1818,,94182_462_567,Underpass_425_537,,0.2577,0.2494,0.265,0.2064,30,16,480,CC,False,False,False,False,False
94182_462_567,INVOICE_275_200,delivery_386_1818,AL_424_567,,Underpass_425_537,,0.2577,0.2718,0.265,0.2368,59,16,944,ddddd,False,False,False,False,False
94182_280_595,INVOICE_275_200,delivery_386_1818,,,"Woodardport,_281_566",,0.2705,0.1647,0.2777,0.1536,58,16,928,ddddd,False,False,False,False,False
Date_583_349,INVOICE_275_200,delivery_386_1818,,,,21_584_382,0.1586,0.3429,0.1664,0.2873,49,17,833,Cccc,False,False,False,False,False
of_637_348,INVOICE_275_200,delivery_386_1818,,issue_664_348,,"Sep,_614_382",0.1582,0.3747,0.1691,0.3,23,24,552,cc,False,False,False,False,False
issue_664_348,INVOICE_275_200,delivery_386_1818,of_637_348,,,1999_661_382,0.1582,0.3906,0.1664,0.3245,50,18,900,ccccc,False,False,False,False,False
21_584_382,INVOICE_275_200,delivery_386_1818,,"Sep,_614_382",Date_583_349,,0.1736,0.3435,0.1809,0.275,21,16,336,dd,False,False,False,False,False
"Sep,_614_382",INVOICE_275_200,delivery_386_1818,21_584_382,1999_661_382,of_637_348,,0.1736,0.3612,0.1832,0.2959,37,21,777,Cccp,False,False,False,False,False
1999_661_382,INVOICE_275_200,delivery_386_1818,"Sep,_614_382",,issue_664_348,,0.1736,0.3888,0.1809,0.3218,47,16,752,dddd,False,False,False,False,False
"Donovan,_583_470",INVOICE_275_200,delivery_386_1818,,James_685_470,,3325_584_498,0.2136,0.3429,0.2227,0.3095,98,20,1960,Cccccccp,False,False,False,False,False
James_685_470,INVOICE_275_200,delivery_386_1818,"Donovan,_583_470",,,Springs_697_497,0.2136,0.4029,0.2236,0.3405,64,22,1408,Ccccc,False,False,False,False,False
and_756_469,INVOICE_275_200,delivery_386_1818,,Barron_798_470,,Apt._777_498,0.2132,0.4447,0.2214,0.3614,39,18,702,ccc,False,False,False,False,False
Barron_798_470,INVOICE_275_200,delivery_386_1818,and_756_469,,,669_828_498,0.2136,0.4694,0.2214,0.3959,73,17,1241,Cccccc,False,False,False,False,False
3325_584_498,INVOICE_275_200,delivery_386_1818,,Salas_638_497,"Donovan,_583_470","Jamesbury,_581_525",0.2264,0.3435,0.2336,0.2873,48,16,768,dddd,False,False,False,False,False
Salas_638_497,INVOICE_275_200,delivery_386_1818,3325_584_498,Springs_697_497,"Donovan,_583_470","Jamesbury,_581_525",0.2259,0.3753,0.2336,0.3136,52,17,884,Ccccc,False,False,False,False,False
Springs_697_497,INVOICE_275_200,delivery_386_1818,Salas_638_497,Apt._777_498,James_685_470,OK_703_526,0.2259,0.41,0.2359,0.3509,75,22,1650,Ccccccc,False,False,False,False,False
Apt._777_498,INVOICE_275_200,delivery_386_1818,Springs_697_497,669_828_498,and_756_469,57993_741_526,0.2264,0.4571,0.2359,0.3718,41,21,861,Cccp,False,False,False,False,False
669_828_498,INVOICE_275_200,delivery_386_1818,Apt._777_498,,Barron_798_470,,0.2264,0.4871,0.2336,0.3918,34,16,544,ddd,False,False,False,False,False
"Jamesbury,_581_525",INVOICE_275_200,delivery_386_1818,,,Salas_638_497,(717)576-8107_585_551,0.2386,0.3418,0.2486,0.3155,113,22,2486,Cccccccccp,False,False,False,False,False
OK_703_526,INVOICE_275_200,delivery_386_1818,,57993_741_526,Springs_697_497,,0.2391,0.4135,0.2464,0.3341,32,16,512,CC,False,False,False,False,False
57993_741_526,INVOICE_275_200,delivery_386_1818,OK_703_526,,Apt._777_498,,0.2391,0.4359,0.2464,0.3636,59,16,944,ddddd,False,False,False,False,False
(717)576-8107_585_551,INVOICE_275_200,delivery_386_1818,,,"Jamesbury,_581_525",ytaylor@hurley.com_580_580,0.2505,0.3441,0.2595,0.3305,142,20,2840,pdddpdddpdddd,False,False,False,False,False
ytaylor@hurley.com_580_580,INVOICE_275_200,delivery_386_1818,,,(717)576-8107_585_551,gray.org_583_614,0.2636,0.3412,0.2736,0.3582,208,22,4576,<EMAIL>,False,False,False,False,False
gray.org_583_614,INVOICE_275_200,delivery_386_1818,,,ytaylor@hurley.com_580_580,,0.2791,0.3429,0.2873,0.3041,86,18,1548,ccccpccc,False,False,False,False,False
Description_278_725,INVOICE_275_200,delivery_386_1818,,,,,0.3295,0.1635,0.3441,0.1805,119,32,3808,Ccccccccccc,True,True,False,False,False
Unit_901_729,INVOICE_275_200,delivery_386_1818,,cost_950_732,,,0.3314,0.53,0.34,0.4291,43,19,817,Cccc,False,False,False,False,False
cost_950_732,INVOICE_275_200,delivery_386_1818,Unit_901_729,,,,0.3327,0.5588,0.34,0.45,40,16,640,cccc,False,False,False,False,False
Qty/HR_1100_725,INVOICE_275_200,delivery_386_1818,,,,rate_1138_762,0.3295,0.6471,0.3441,0.5377,83,32,2656,CccpCC,True,True,False,False,False
Amount_1269_730,INVOICE_275_200,delivery_386_1818,,,,,0.3318,0.7465,0.34,0.6164,87,18,1566,Cccccc,False,False,False,False,False
rate_1138_762,INVOICE_275_200,delivery_386_1818,,,Qty/HR_1100_725,,0.3464,0.6694,0.3536,0.5359,41,16,656,cccc,False,False,False,False,False
Daisy_278_861,INVOICE_275_200,delivery_386_1818,,Garden_342_861,,Plasters_278_919,0.3914,0.1635,0.4014,0.1518,56,22,1232,Ccccc,False,False,False,False,False
Garden_342_861,INVOICE_275_200,delivery_386_1818,Daisy_278_861,Marker_421_861,,In_364_920,0.3914,0.2012,0.3991,0.1882,72,17,1224,Cccccc,False,False,False,False,False
Marker_421_861,INVOICE_275_200,delivery_386_1818,Garden_342_861,,,Woodland_435_919,0.3914,0.2476,0.3991,0.2255,75,17,1275,Cccccc,False,False,False,False,False
LEB)_948_858,INVOICE_275_200,delivery_386_1818,,,,1.65_948_920,0.39,0.5576,0.4036,0.4495,41,30,1230,CCCp,True,False,False,False,False
1_1166_862,INVOICE_275_200,delivery_386_1818,,,,6_1167_920,0.3918,0.6859,0.3991,0.5341,9,16,144,d,False,False,False,False,False
1.25_1313_860,INVOICE_275_200,delivery_386_1818,,,,9.90_1313_918,0.3909,0.7724,0.3982,0.6155,41,16,656,dpdd,False,False,False,False,False
Plasters_278_919,INVOICE_275_200,delivery_386_1818,,In_364_920,Daisy_278_861,Ribbons_296_977,0.4177,0.1635,0.4255,0.1632,81,17,1377,Cccccccc,False,False,False,False,False
In_364_920,INVOICE_275_200,delivery_386_1818,Plasters_278_919,Tin_395_919,Garden_342_861,,0.4182,0.2141,0.4255,0.1755,22,16,352,Cc,False,False,False,False,False
Tin_395_919,INVOICE_275_200,delivery_386_1818,In_364_920,Woodland_435_919,Garden_342_861,Rustic_383_977,0.4177,0.2324,0.4255,0.1936,31,17,527,Ccc,False,False,False,False,False
Woodland_435_919,INVOICE_275_200,delivery_386_1818,Tin_395_919,Animals_540_919,Marker_421_861,Charm_452_977,0.4177,0.2559,0.4255,0.2441,102,17,1734,Cccccccc,False,False,False,False,False
Animals_540_919,INVOICE_275_200,delivery_386_1818,Woodland_435_919,1.65_948_920,,,0.4177,0.3176,0.4255,0.2845,86,17,1462,Ccccccc,False,False,False,False,False
1.65_948_920,INVOICE_275_200,delivery_386_1818,Animals_540_919,6_1167_920,LEB)_948_858,1.45_948_978,0.4182,0.5576,0.4255,0.4495,41,16,656,dpdd,False,False,False,False,False
6_1167_920,INVOICE_275_200,delivery_386_1818,1.65_948_920,,1_1166_862,1_1166_978,0.4182,0.6865,0.4255,0.5355,11,16,176,d,False,False,False,False,False
9.90_1313_918,INVOICE_275_200,delivery_386_1818,,,1.25_1313_860,1.45_1313_978,0.4173,0.7724,0.4245,0.6155,41,16,656,dpdd,False,False,False,False,False
6_280_978,INVOICE_275_200,delivery_386_1818,,Ribbons_296_977,,,0.4445,0.1647,0.4518,0.1323,11,16,176,d,False,False,False,False,False
Ribbons_296_977,INVOICE_275_200,delivery_386_1818,6_280_978,Rustic_383_977,Plasters_278_919,,0.4441,0.1741,0.4518,0.1714,81,17,1377,Ccccccc,False,False,False,False,False
Rustic_383_977,INVOICE_275_200,delivery_386_1818,Ribbons_296_977,Charm_452_977,Tin_395_919,,0.4441,0.2253,0.4518,0.2027,63,17,1071,Cccccc,False,False,False,False,False
Charm_452_977,INVOICE_275_200,delivery_386_1818,Rustic_383_977,1.45_948_978,Woodland_435_919,,0.4441,0.2659,0.4518,0.2368,69,17,1173,Ccccc,False,False,False,False,False
1.45_948_978,INVOICE_275_200,delivery_386_1818,Charm_452_977,1_1166_978,1.65_948_920,,0.4445,0.5576,0.4518,0.4495,41,16,656,dpdd,False,False,False,False,True
