,topmost,bottommost,left,right,above,below,normTop,normLeft,normBottom,normRight,wordWidth,wordHeight,wordArea,standardisedText,isTitle_heightBased,isTitle_hOCRBased,isSum,isProduct,isMathElement
Statement_1193_126,Statement_1193_126,business!_910_1754,,,,29_1361_246,0.0573,0.7018,0.0845,0.7127,375,60,22500,Ccccccccc,True,True,False,False,False
H_180_213,Statement_1193_126,business!_910_1754,,,,and_226_333,0.0968,0.1059,0.1264,0.1232,91,65,5915,C,True,True,False,False,False
Date_1305_246,Statement_1193_126,business!_910_1754,,29_1361_246,,,0.1118,0.7676,0.1191,0.6141,46,16,736,Cccc,False,False,False,False,False
29_1361_246,Statement_1193_126,business!_910_1754,Date_1305_246,"December,_1396_246",,Statement_1367_271,0.1118,0.8006,0.1191,0.6295,24,16,384,dd,False,False,False,False,False
"December,_1396_246",Statement_1193_126,business!_910_1754,29_1361_246,2014_1511_246,,Statement_1367_271,0.1118,0.8212,0.12,0.6827,106,18,1908,Ccccccccp,False,False,False,False,False
2014_1511_246,Statement_1193_126,business!_910_1754,"December,_1396_246",,,#63415_1480_271,0.1118,0.8888,0.1191,0.7114,54,16,864,dddd,False,False,False,False,False
Statement_1367_271,Statement_1193_126,business!_910_1754,,#63415_1480_271,"December,_1396_246",,0.1232,0.8041,0.1305,0.6691,105,16,1680,Ccccccccc,False,False,False,False,False
#63415_1480_271,Statement_1193_126,business!_910_1754,Statement_1367_271,,2014_1511_246,,0.1232,0.8706,0.1305,0.7114,85,16,1360,pddddd,False,False,False,False,False
Progressive_409_269,Statement_1193_126,business!_910_1754,,client-server_528_269,,,0.1223,0.2406,0.1314,0.2364,111,20,2220,Ccccccccccc,False,False,False,False,False
client-server_528_269,Statement_1193_126,business!_910_1754,Progressive_409_269,info-mediaries_653_269,,TO_576_331,0.1223,0.3106,0.1295,0.295,121,16,1936,ccccccpcccccc,False,False,False,False,False
info-mediaries_653_269,Statement_1193_126,business!_910_1754,client-server_528_269,,,,0.1223,0.3841,0.1295,0.3582,135,16,2160,ccccpccccccccc,False,False,False,False,False
Hawkins_135_333,Statement_1193_126,business!_910_1754,,and_226_333,,9808_134_363,0.1514,0.0794,0.1586,0.0986,82,16,1312,Ccccccc,False,False,False,False,False
and_226_333,Statement_1193_126,business!_910_1754,Hawkins_135_333,Sons_269_333,,Johnson_197_363,0.1514,0.1329,0.1586,0.1182,34,16,544,ccc,False,False,False,False,False
Sons_269_333,Statement_1193_126,business!_910_1754,and_226_333,,,Ferry_285_363,0.1514,0.1582,0.1586,0.1441,48,16,768,Cccc,False,False,False,False,False
BILL_526_331,Statement_1193_126,business!_910_1754,,TO_576_331,,,0.1505,0.3094,0.1577,0.2582,42,16,672,CCCC,False,False,False,False,False
TO_576_331,Statement_1193_126,business!_910_1754,BILL_526_331,,client-server_528_269,,0.1505,0.3388,0.1577,0.2741,27,16,432,CC,False,False,False,False,False
Christopher_652_333,Statement_1193_126,business!_910_1754,,Owens_775_333,info-mediaries_653_269,Frederick-_653_359,0.1514,0.3835,0.1605,0.3482,114,20,2280,Ccccccccccc,False,False,False,False,False
Owens_775_333,Statement_1193_126,business!_910_1754,Christopher_652_333,,,Rodriguez_756_359,0.1514,0.4559,0.1586,0.3832,68,16,1088,Ccccc,False,False,False,False,False
COMMENTS_1048_331,Statement_1193_126,business!_910_1754,,,,,0.1505,0.6165,0.1577,0.5314,121,16,1936,CCCCCCCC,False,False,False,False,False
9808_134_363,Statement_1193_126,business!_910_1754,,Johnson_197_363,Hawkins_135_333,"Munozbury,_135_392",0.165,0.0788,0.1723,0.0855,54,16,864,dddd,False,False,False,False,False
Johnson_197_363,Statement_1193_126,business!_910_1754,9808_134_363,Ferry_285_363,and_226_333,MA_255_392,0.165,0.1159,0.1723,0.1245,77,16,1232,Ccccccc,False,False,False,False,False
Ferry_285_363,Statement_1193_126,business!_910_1754,Johnson_197_363,Apt.019_344_363,Sons_269_333,46630_296_392,0.165,0.1676,0.1741,0.1523,50,20,1000,Ccccc,False,False,False,False,False
Apt.019_344_363,Statement_1193_126,business!_910_1754,Ferry_285_363,,,46630_296_392,0.165,0.2024,0.1741,0.1964,88,20,1760,Cccpddd,False,False,False,False,False
Frederick-_653_359,Statement_1193_126,business!_910_1754,,Rodriguez_756_359,Christopher_652_333,Dean_703_392,0.1632,0.3841,0.1759,0.3409,97,28,2716,Cccccccccp,True,False,False,False,False
Rodriguez_756_359,Statement_1193_126,business!_910_1754,Frederick-_653_359,,Owens_775_333,Island_763_392,0.1632,0.4447,0.1759,0.3873,96,28,2688,Ccccccccc,True,False,False,False,False
"Munozbury,_135_392",Statement_1193_126,business!_910_1754,,MA_255_392,9808_134_363,Phone_135_421,0.1782,0.0794,0.1873,0.1118,111,20,2220,Cccccccccp,False,False,False,False,False
MA_255_392,Statement_1193_126,business!_910_1754,"Munozbury,_135_392",46630_296_392,Johnson_197_363,(+358)_205_421,0.1782,0.15,0.1855,0.1305,32,16,512,CC,False,False,False,False,False
46630_296_392,Statement_1193_126,business!_910_1754,MA_255_392,284_653_392,Ferry_285_363,663125511_282_421,0.1782,0.1741,0.1855,0.1659,69,16,1104,ddddd,False,False,False,False,False
284_653_392,Statement_1193_126,business!_910_1754,46630_296_392,Dean_703_392,Frederick-_653_359,New_653_421,0.1782,0.3841,0.1855,0.3145,39,16,624,ddd,False,False,False,False,False
Dean_703_392,Statement_1193_126,business!_910_1754,284_653_392,Island_763_392,Frederick-_653_359,"Ryanborough,_707_421",0.1782,0.4135,0.1855,0.3423,50,16,800,Cccc,False,False,False,False,False
Island_763_392,Statement_1193_126,business!_910_1754,Dean_703_392,,Rodriguez_756_359,"Ryanborough,_707_421",0.1782,0.4488,0.1855,0.3727,57,16,912,Cccccc,False,False,False,False,False
Phone_135_421,Statement_1193_126,business!_910_1754,,(+358)_205_421,"Munozbury,_135_392",Fax_135_450,0.1914,0.0794,0.1986,0.0886,60,16,960,Ccccc,False,False,False,False,False
(+358)_205_421,Statement_1193_126,business!_910_1754,Phone_135_421,663125511_282_421,MA_255_392,+3209-2295833_177_450,0.1914,0.1206,0.2005,0.1236,67,20,1340,ppdddp,False,False,False,False,False
663125511_282_421,Statement_1193_126,business!_910_1754,(+358)_205_421,New_653_421,46630_296_392,@fisher-roach.net_277_481,0.1914,0.1659,0.1986,0.1855,126,16,2016,ddddddddd,False,False,False,False,False
New_653_421,Statement_1193_126,business!_910_1754,663125511_282_421,"Ryanborough,_707_421",284_653_392,Phone_653_450,0.1914,0.3841,0.1986,0.3168,44,16,704,Ccc,False,False,False,False,False
"Ryanborough,_707_421",Statement_1193_126,business!_910_1754,New_653_421,DE_853_421,Island_763_392,1-951-635-1700_725_450,0.1914,0.4159,0.2005,0.3832,136,20,2720,Cccccccccccp,False,False,False,False,False
DE_853_421,Statement_1193_126,business!_910_1754,"Ryanborough,_707_421",02629_887_421,,1-951-635-1700_725_450,0.1914,0.5018,0.1986,0.3995,26,16,416,CC,False,False,False,False,False
02629_887_421,Statement_1193_126,business!_910_1754,DE_853_421,,,,0.1914,0.5218,0.1986,0.4345,69,16,1104,ddddd,False,False,False,False,False
Fax_135_450,Statement_1193_126,business!_910_1754,,+3209-2295833_177_450,Phone_135_421,rodriguezalex_134_479,0.2045,0.0794,0.2118,0.0764,33,16,528,Ccc,False,False,False,False,False
+3209-2295833_177_450,Statement_1193_126,business!_910_1754,Fax_135_450,Phone_653_450,(+358)_205_421,,0.2045,0.1041,0.2118,0.1632,182,16,2912,pddddpddddddd,False,False,False,False,False
Phone_653_450,Statement_1193_126,business!_910_1754,+3209-2295833_177_450,1-951-635-1700_725_450,New_653_421,Customer_652_479,0.2045,0.3841,0.2118,0.3241,60,16,960,Ccccc,False,False,False,False,False
1-951-635-1700_725_450,Statement_1193_126,business!_910_1754,Phone_653_450,,"Ryanborough,_707_421",2897393_786_479,0.2045,0.4265,0.2118,0.4141,186,16,2976,dpdddpdddpdddd,False,False,False,False,False
rodriguezalex_134_479,Statement_1193_126,business!_910_1754,,,Fax_135_450,Date_137_516,0.2177,0.0788,0.2268,0.1218,134,20,2680,ccccccccccccc,False,False,False,False,False
@fisher-roach.net_277_481,Statement_1193_126,business!_910_1754,,Customer_652_479,,Description_347_516,0.2186,0.1629,0.225,0.2045,173,14,2422,pccccccpcccccpccc,False,False,False,False,False
Customer_652_479,Statement_1193_126,business!_910_1754,@fisher-roach.net_277_481,ID_757_479,Phone_653_450,,0.2177,0.3835,0.225,0.3395,95,16,1520,Cccccccc,False,False,False,False,False
ID_757_479,Statement_1193_126,business!_910_1754,Customer_652_479,2897393_786_479,"Ryanborough,_707_421",,0.2177,0.4453,0.225,0.3527,19,16,304,CC,False,False,False,False,False
2897393_786_479,Statement_1193_126,business!_910_1754,ID_757_479,,1-951-635-1700_725_450,,0.2177,0.4624,0.225,0.4014,97,16,1552,ddddddd,False,False,False,False,False
Date_137_516,Statement_1193_126,business!_910_1754,,Description_347_516,rodriguezalex_134_479,,0.2345,0.0806,0.2468,0.0805,40,27,1080,Cccc,True,False,False,False,False
Description_347_516,Statement_1193_126,business!_910_1754,Date_137_516,Balance_1041_516,@fisher-roach.net_277_481,a_402_554,0.2345,0.2041,0.2468,0.2023,98,27,2646,Ccccccccccc,True,False,False,False,False
Balance_1041_516,Statement_1193_126,business!_910_1754,Description_347_516,,,,0.2345,0.6124,0.2468,0.5064,73,27,1971,Ccccccc,True,False,False,False,False
Amount_1313_520,Statement_1193_126,business!_910_1754,,,,,0.2364,0.7724,0.2436,0.6291,71,16,1136,Cccccc,False,False,False,False,False
Grow_348_558,Statement_1193_126,business!_910_1754,,,Description_347_516,Set/20_348_597,0.2536,0.2047,0.2609,0.1827,54,16,864,Cccc,False,False,False,False,False
a_402_554,Statement_1193_126,business!_910_1754,,,Description_347_516,Set/20_348_597,0.2518,0.2365,0.2645,0.1882,12,28,336,c,True,False,False,False,False
flytrap_428_558,Statement_1193_126,business!_910_1754,,,Description_347_516,strawberry_427_598,0.2536,0.2518,0.2627,0.2245,66,20,1320,ccccccc,False,False,False,False,False
or_502_563,Statement_1193_126,business!_910_1754,,sunflower_529_558,,,0.2559,0.2953,0.2609,0.2368,19,11,209,cc,False,False,False,False,False
sunflower_529_558,Statement_1193_126,business!_910_1754,or_502_563,in_636_563,,paper_547_603,0.2536,0.3112,0.2609,0.285,98,16,1568,ccccccccc,False,False,False,False,False
in_636_563,Statement_1193_126,business!_910_1754,sunflower_529_558,tin_657_560,,napkins_611_598,0.2559,0.3741,0.2609,0.2955,14,11,154,cc,False,False,False,False,False
tin_657_560,Statement_1193_126,business!_910_1754,in_636_563,2.50_1219_558,,napkins_611_598,0.2545,0.3865,0.2609,0.3095,24,14,336,ccc,False,False,False,False,False
2.50_1219_558,Statement_1193_126,business!_910_1754,tin_657_560,15.00_1492_558,,0.85_1219_598,0.2536,0.7171,0.2609,0.5745,45,16,720,dpdd,False,False,False,False,False
15.00_1492_558,Statement_1193_126,business!_910_1754,2.50_1219_558,,,0.85_1504_598,0.2536,0.8776,0.2609,0.7041,57,16,912,ddpdd,False,False,False,False,False
Set/20_348_597,Statement_1193_126,business!_910_1754,,,Grow_348_558,Mirror_349_638,0.2714,0.2047,0.2795,0.19,70,18,1260,Cccpdd,False,False,False,False,False
strawberry_427_598,Statement_1193_126,business!_910_1754,,paper_547_603,flytrap_428_558,mosaic_415_643,0.2718,0.2512,0.2809,0.2441,110,20,2200,cccccccccc,False,False,False,False,False
paper_547_603,Statement_1193_126,business!_910_1754,strawberry_427_598,napkins_611_598,sunflower_529_558,holder_559_638,0.2741,0.3218,0.2809,0.2736,55,15,825,ccccc,False,False,False,False,False
napkins_611_598,Statement_1193_126,business!_910_1754,paper_547_603,0.85_1219_598,in_636_563,holder_559_638,0.2718,0.3594,0.2809,0.3109,73,20,1460,ccccccc,False,False,False,False,False
0.85_1219_598,Statement_1193_126,business!_910_1754,napkins_611_598,0.85_1504_598,2.50_1219_558,2.46_1219_638,0.2718,0.7171,0.2791,0.5745,45,16,720,dpdd,False,False,False,False,False
0.85_1504_598,Statement_1193_126,business!_910_1754,0.85_1219_598,,15.00_1492_558,7.38_1505_638,0.2718,0.8847,0.2791,0.7041,45,16,720,dpdd,False,False,False,False,False
Mirror_349_638,Statement_1193_126,business!_910_1754,,mosaic_415_643,Set/20_348_597,White_348_677,0.29,0.2053,0.2973,0.1845,57,16,912,Cccccc,False,False,False,False,False
mosaic_415_643,Statement_1193_126,business!_910_1754,Mirror_349_638,votive_489_640,,hanging_417_677,0.2923,0.2441,0.2973,0.2191,67,11,737,cccccc,False,False,False,False,False
votive_489_640,Statement_1193_126,business!_910_1754,mosaic_415_643,holder_559_638,strawberry_427_598,heart_503_677,0.2909,0.2876,0.2973,0.25,61,14,854,cccccc,False,False,False,False,False
holder_559_638,Statement_1193_126,business!_910_1754,votive_489_640,2.46_1219_638,paper_547_603,t-light_562_677,0.29,0.3288,0.2973,0.2823,62,16,992,cccccc,False,False,False,False,False
2.46_1219_638,Statement_1193_126,business!_910_1754,holder_559_638,7.38_1505_638,0.85_1219_598,295_1219_677,0.29,0.7171,0.2973,0.5745,45,16,720,dpdd,False,False,False,False,False
7.38_1505_638,Statement_1193_126,business!_910_1754,2.46_1219_638,,0.85_1504_598,2.95_1505_677,0.29,0.8853,0.2973,0.7041,44,16,704,dpdd,False,False,False,False,False
White_348_677,Statement_1193_126,business!_910_1754,,hanging_417_677,Mirror_349_638,Decoration_349_717,0.3077,0.2047,0.315,0.1855,60,16,960,Ccccc,False,False,False,False,False
hanging_417_677,Statement_1193_126,business!_910_1754,White_348_677,heart_503_677,mosaic_415_643,Decoration_349_717,0.3077,0.2453,0.3168,0.2245,77,20,1540,ccccccc,False,False,False,False,False
heart_503_677,Statement_1193_126,business!_910_1754,hanging_417_677,t-light_562_677,votive_489_640,wobbly_475_717,0.3077,0.2959,0.315,0.2523,52,16,832,ccccc,False,False,False,False,False
t-light_562_677,Statement_1193_126,business!_910_1754,heart_503_677,holder_632_677,holder_559_638,rabbit_557_717,0.3077,0.3306,0.3168,0.2832,61,20,1220,cpccccc,False,False,False,False,False
holder_632_677,Statement_1193_126,business!_910_1754,t-light_562_677,295_1219_677,,metal_632_717,0.3077,0.3718,0.315,0.3155,62,16,992,cccccc,False,False,False,False,False
295_1219_677,Statement_1193_126,business!_910_1754,holder_632_677,2.95_1505_677,2.46_1219_638,1.65_1221_717,0.3077,0.7171,0.315,0.5745,45,16,720,ddd,False,False,False,False,False
2.95_1505_677,Statement_1193_126,business!_910_1754,295_1219_677,,7.38_1505_638,8.25_1504_717,0.3077,0.8853,0.315,0.7041,44,16,704,dpdd,False,False,False,False,False
Decoration_349_717,Statement_1193_126,business!_910_1754,,wobbly_475_717,White_348_677,Jumbo_347_756,0.3259,0.2053,0.3332,0.2073,107,16,1712,Cccccccccc,False,False,False,False,False
wobbly_475_717,Statement_1193_126,business!_910_1754,Decoration_349_717,rabbit_557_717,heart_503_677,pink_461_756,0.3259,0.2794,0.335,0.2486,72,20,1440,cccccc,False,False,False,False,False
rabbit_557_717,Statement_1193_126,business!_910_1754,wobbly_475_717,metal_632_717,t-light_562_677,polkadot_507_756,0.3259,0.3276,0.3332,0.2786,56,16,896,cccccc,False,False,False,False,False
